id,Nome_escola,Cod_inep,Bairro_polo,Enderenco_polo,lat,long,Gee,Tipo_ensino,_correcao
0,SEDE SEDUC-AL (CEPA) - DEPOT,DEPOT,FAROL,"AVENIDA FERNANDES LIMA, S/N",-9.640370,-35.738907,-,Sede Administrativa (Depot),Centroide calculado a partir de 9 escolas confirmadas dentro do complexo CEPA
1,CAS CENTRO DE ATENDIMENTO AS PESSOAS COM SURDEZ JOELINA ALVES CERQUEIRA,27237400,JATIUCA,RUA ERNESTO GOMES MARANHAO,-9.652735943,-35.71165382,1ª,Escola de Ensino Regular,
2,CENTRO EDUCACIONAL DE JOVENS E ADULTOS PAULO FREIRE - CEJA,27224546,CENTRO,RUA JOAO PESSOA,-9.661084737,-35.73790239,1ª,Escola de Ensino Regular,
3,CENTRO ESTADUAL DE EDUCACAO PROFESSORA WANDETTE GOMES DE CASTRO,27218163,POCO,RUA PEDRO AMERICO,-9.659993683,-35.71891364,1ª,Escola de Ensino Regular,
4,CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL E TECNOLOGICO DE MACEIO DICIONARISTA AURELIO BUARQUE DE HO,27051161,TABULEIRO DOS MARTINS,RUA PROJETADA - LOT SANTA AMELIA,-9.587864,-35.773682,1ª,Escola de Ensino Regular,
5,COLEGIO TIRADENTES POLICIA MILITAR,27220044,TRAPICHE DA BARRA,AV ROBERTO PONTES LIMA,-9.672850699,-35.75456131,1ª,Escola de Ensino Regular,
6,ESC ESTADUAL PROF EDMILSON DE VASCONCELOS PONTES,27038734,FAROL,RUA CONEGO MACHADO,-9.654622202,-35.73829494,1ª,Escola em tempo integral,
7,ESCOLA ESTADUAL ALBERTO TORRES,27036650,GRUTA DE LOURDES,RUA ANTENOR MARINHO DE MELO,-9.62718293,-35.75104864,13ª,Escola de Ensino Regular,
8,ESCOLA ESTADUAL ALFREDO GASPAR DE MENDONCA,27035646,CIDADE UNIVERSITARIA,CONJUNTO EUSTAQUIO GOMES DE MELO,-9.540093613,-35.78570318,13ª,Escola de Ensino Regular,
9,ESCOLA ESTADUAL ANTONIO VASCO,27035662,RIACHO DOCE,PRACA JOSE EMIDIO DE CARVALHO,-9.576070319,-35.6561694,1ª,Escola de Ensino Regular,
10,ESCOLA ESTADUAL AQUILINA BULHOES BARROS,27215024,BENEDITO BENTES,RUA HENRIQUE FRANCISCO BULHOES,-9.556490457,-35.71432209,13ª,Escola de Ensino Regular,
